resource_code,name,type,category,unit,price_avg,price_min,price_max,price_median,price_variants,currency,avg_cost_per_use,avg_qty_per_use,usage_count,used_in_work_items,parent_category,parent_collection,parent_department,parent_section,rec_rev
PU_MEKAKA_KAPUKA,कर्मचारी: 1 व्यक्ति-घंटा/मशीन-घंटा,Operator,Operators,मशीन-च,303.27,302.79,1513.94,302.79,4,INR,3011.49,9.9441,30422,24734,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास,dd844586094e
PU_MEKAKA_KANEKA,कर्मचारी: 1 व्यक्ति-घंटा/मशीन-घंटा,Operator,Operators,मशीन-च,527.75,56.94,18709.9,406.74,13,INR,6896.15,15.8395,29418,24257,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास,11e41c92f2c8
PU_MEKAKA_KASAKA,कर्मचारी: 1 व्यक्ति-घंटा/मशीन-घंटा,Operator,Operators,मशीन-च,391.89,347.98,4523.8,347.98,9,INR,9441.89,25.5235,24718,17482,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास,6ee59ea1ef16
DXME-MEPU-KARI_KAKAME,"बोरट ऑटोमोबाइल, लोडिंग क्षमता 5 टन तक",Equipment,General,मशीन-च,545.51,545.51,545.51,545.51,1,INR,1193.69,2.1959,17559,17559,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास और ट्रक-डंपरों में लोडिंग,52633cf58459
DXME-KASA-KASA_KAMESA,"ऑटोमोबाइल क्रेन, लोडिंग क्षमता 16 टन",Equipment,General,मशीन-च,1404.95,1404.95,1404.95,1404.95,1,INR,15137.8,10.7846,17260,17260,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास और ट्रक-डंपरों में लोडिंग,da6c774467bf
KAME-LI-KATO-KAPU_KAKAKAME,इलेक्ट्रिक ऊर्जा,Material,General,किलोवाट-घंटा,6.44,6.44,6.44,6.44,1,INR,19127.44,2970.7277,15624,15624,निर्माण कार्य,"पाइल कार्य, गहरे कुएं, मिट्टी को स्थिर करना",पाइल कार्य,ज़मीन से किए जाने वाले पाइल कार्य,c15cfdeb8bfc
DXME-MELI-KAPU_RITOTO,"मैनुअल आर्क वेल्डिंग के लिए वेल्डिंग मशीनें, वेल्डिंग करंट 350 ए तक",Equipment,General,मशीन-च,30.21,30.21,30.21,30.21,1,INR,1607.3,53.1988,9059,9059,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",हाइड्रोमैकेनाइजेशन विधि द्वारा मिट्टी का विकास,62b2696e73e4
DXME-MELI-KAPU_RITOTO,बिजली: खपत 3.7 कVt·घंटा/मशीन-घंटा,Electricity,Electricity,मशीन-च,16.43,16.43,16.43,16.43,1,INR,874.27,53.1988,9059,9059,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",हाइड्रोमैकेनाइजेशन विधि द्वारा मिट्टी का विकास,0f2e6a912d5e
KAME-LI-KATO-KAME_KAKAKAME,पानी,Material,General,घन मीटर,38.57,38.57,38.57,38.57,1,INR,3985.2,106.0106,7937,7937,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",रेलवे और सड़क के लिए खुदाई और भराई,2bc85a109c29
ME_MEKAKA_PUKA,कार्यकर्ता की श्रेणी 4,Labor,Labor,च,570.56,570.56,570.56,570.56,1,INR,150677.04,264.0885,7620,7620,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",हाइड्रोमैकेनाइजेशन विधि द्वारा मिट्टी का विकास,08f89552ba01
KAME-TO-KARI-KAVO_KAKAKAME,तकनीकी रूप से गैसीय ऑक्सीजन,Material,General,घन मीटर,140.53,140.53,140.53,140.53,1,INR,3666.38,26.3442,6539,6539,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",जल स्तर में कमी,9187ae223c5e
KAME-LI-MEME-KALI_KARIRILI,"वेल्डिंग इलेक्ट्रोड्स, निम्न मिश्रित और कार्बन स्टील के लिए, UONI 13/45, E42A, व्यास 4-5 मिमी",Material,General,किलोग्राम,130.26,130.26,130.26,130.26,1,INR,8590.87,66.1641,5578,5578,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",हाइड्रोमैकेनाइजेशन विधि द्वारा मिट्टी का विकास,a3cbda46242d
KAME-TO-KARI-KADX_KAKARIRI,प्रोपेन-ब्यूटेन तकनीकी मिश्रण,Material,General,किलोग्राम,61.82,61.82,61.82,61.82,1,INR,594.58,9.9601,4774,4774,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",भूमि संरचनाओं के ढलानों को मजबूत करना,f7b72ad6d069
PU_MEKAKA_KALIKA,कर्मचारी: 1 व्यक्ति-घंटा/मशीन-घंटा,Operator,Operators,मशीन-च,466.53,433.84,2603.07,433.84,5,INR,17270.96,39.065,4659,4214,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास,5787eee43ff8
PU_MEKAKA_KATOKA,कर्मचारी: 1 व्यक्ति-घंटा/मशीन-घंटा,Operator,Operators,मशीन-च,272.02,268.89,537.79,268.89,2,INR,3859.91,14.3887,4041,3793,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",हाथ से मिट्टी का विकास,38da3c5dc1ba
DXME-MELI-KAPU_KAPURI,गैस वेल्डिंग और कटाई के उपकरण,Equipment,General,मशीन-च,4.82,4.82,4.82,4.82,1,INR,88.99,18.4995,3819,3819,निर्माण कार्य,भूमि कार्य,"अन्य प्रकार के खुदाई कार्य, तैयारी, सहायक और सुदृढीकरण कार्य",जल स्तर में कमी,b2f5ac619b0b
KAME-LI-MESA-KATO_KAKAPURI,"निर्माण के लिए बोल्ट, नट और वॉशर",Material,General,किलोग्राम,182.63,182.63,182.63,182.63,1,INR,6019.52,33.0324,3400,3400,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास और ट्रक-डंपरों में लोडिंग,dbd7d188cd61
KAME-LI-KATO-KAME_KAKAKARI,नल का पानी,Material,General,घन मीटर,39.21,39.21,39.21,39.21,1,INR,69529.43,2173.361,3328,3328,निर्माण कार्य,ठोस और प्री-कास्ट कंक्रीट संरचनाएं,परमाणु विद्युत संयंत्रों की संरचनाएँ,रिएक्टर भवन की सुरक्षा आवरण प्रणाली के चैनल बनाने वालों में इंजेक्शन,82b562f42e61
KAME-LI-MESA-KANE_KAMEMEME,निर्माण के लिए नाखून,Material,General,ट,78450.56,78450.56,78450.56,78450.56,1,INR,1174.16,0.0312,3190,3190,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास और ट्रक-डंपरों में लोडिंग,415c230a9bfc
DXME-KANE-KASA_KAMEME,"एक-बकेट वाले यूनिवर्सल फ्रंट लोडर, मुख्य बाल्टी की नामांकित क्षमता 2.6 मी³, लोडिंग क्षमता 5 टन",Equipment,General,मशीन-च,1457.97,1457.97,1457.97,1457.97,1,INR,2859.01,1.9765,2921,2921,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",जल संसाधन निर्माण में मिट्टी का विकास और जल निकासी की स्थापना,82a5ae2c4cd7
RI_MEKAKA_KAPU,कार्यकर्ता 4 श्रेणी,Labor,Labor,च,570.56,570.56,570.56,570.56,1,INR,40909.13,71.7006,2918,2918,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",जल संसाधन निर्माण में मिट्टी का विकास और जल निकासी की स्थापना,a8cdb84b07eb
DXME-KADX-KARI_KAKAVO,"अनपल्ट वैगन, क्षमता 2.5 म³",Equipment,General,मशीन-च,10.18,10.18,10.18,10.18,1,INR,858.1,84.2565,2892,2892,निर्माण कार्य,खनन कार्य,"खनन कार्य, जो सामान्य तरीके से किए जाते हैं","ऊर्ध्वाधर स्टॉलों के साथ आसपास के आंगनों, लोडिंग उपकरणों के कक्षों, ऊर्ध्वाधर और",1506c42281c4
KAME-LI-MEME-KALI_KARITOKA,"वेल्डिंग इलेक्ट्रोड्स, निम्न-लेगर्ड और कार्बन स्टील के लिए, UONI 13/55, E50A, व्यास 4-5 मिमी",Material,General,किलोग्राम,124.6,124.6,124.6,124.6,1,INR,7396.51,59.5305,2861,2861,निर्माण कार्य,कुएं,कुएं की खुदाई,अन्य प्रकार की ड्रिलिंग,a2fed7ee8f33
ME_MEKAKA_TOKA,कार्यकर्ता की श्रेणी 3,Labor,Labor,च,506.69,506.69,506.69,506.69,1,INR,53223.45,105.0412,2694,2694,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",खुदाई द्वारा मिट्टी का विकास,17dae691b522
PU_MEKAKA_KASASA,कर्मचारी: 2 व्यक्ति-घंटा-यांत्रिक-घंटा,Operator,Operators,मशीन-च,801.26,754.72,1509.44,754.72,2,INR,6850.76,8.9018,2611,2509,निर्माण कार्य,भूमि कार्य,"यांत्रिक खुदाई (एक्स्केवेटर, स्क्रैपर, बुलडोजर, ग्रेडर, हाइड्रोमैकेनाइजेशन विधि ",रेलवे और सड़क के लिए खुदाई और भराई,16bc13659fcf
